,Year,Category,Cat_Type,Winner,Winning_Artist,Winning_Album,GenderAwards,Decade,Cat_Count,Cat_Type_Count,Winner_Count,Artist_Wins,Album_Wins
299,1979,Disco Female,Female Artist,Donna Summer ,Donna Summer ,,Female,1970,1,148,3,6.0,
444,1979,Disco Male,Male Artist,Issac Hayes ,Issac Hayes ,,Male,1970,1,156,1,1.0,
578,1985,Black Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,1,156,8,8.0,
579,1985,Black Male Video,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,1,156,8,8.0,
947,1985,Black Female,Female Artist,Tina Turner ,Tina Turner ,,Female,1980,1,148,3,3.0,
948,1985,Black Female Video,Female Artist,Tina Turner ,Tina Turner ,,Female,1980,1,148,3,3.0,
697,2005,Rap/Hip-Hop Female,Female Artist,Missy Elliot ,Missy Elliot ,,Female,2000,1,148,1,1.0,
68,1986,Soul/R&B Video Female,Female Artist,Aretha Franklin,Aretha Franklin,,Female,1980,2,148,5,5.0,
886,1986,Soul/R&B Video Male,Male Artist,Stevie Wonder,Stevie Wonder,,Male,1980,2,156,8,8.0,
457,1987,Soul/R&B Video Female,Female Artist,Janet Jackson ,Janet Jackson ,,Female,1980,2,148,7,11.0,
585,1987,Soul/R&B Video Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,2,156,8,8.0,
62,1985,Country Video Female,Female Artist,Anne Murray ,Anne Murray ,,Female,1980,3,148,1,3.0,
256,1985,Pop/Rock Video Female,Female Artist,Cyndi Lauper ,Cyndi Lauper ,,Female,1980,3,148,2,2.0,
582,1985,Pop/Rock Video Male,Male Artist,Lionel Richie,Lionel Richie,,Male,1980,3,156,8,8.0,
1027,1985,Country Video Male,Male Artist,Willie Nelson,Willie Nelson,,Male,1980,3,156,7,12.0,
166,1986,Pop/Rock Video Male,Male Artist,Bruce Sprinsteen ,Bruce Sprinsteen ,,Male,1980,3,156,1,1.0,
254,1986,Country Video Female,Female Artist,Crystal Gayle ,Crystal Gayle ,,Female,1980,3,148,4,4.0,
423,1986,Country Video Male,Male Artist,Hank Williams Jr. ,Hank Williams Jr. ,,Male,1980,3,156,1,1.0,
760,1986,Pop/Rock Video Female,Female Artist,Pat Benatar,Pat Benatar,,Female,1980,3,148,3,3.0,
121,1987,Pop/Rock Video Male,Male Artist,Billy Ocean ,Billy Ocean ,,Male,1980,3,156,1,2.0,
388,1987,Country Video Male,Male Artist,George Jones ,George Jones ,,Male,1980,3,156,1,1.0,
626,1987,Pop/Rock Video Female,Female Artist,Madonna ,Madonna ,,Female,1980,3,148,1,2.0,
818,1987,Country Video Female,Female Artist,Reba Mcentire,Reba Mcentire,,Female,1980,3,148,13,13.0,
133,2016,Favorite Male Artist - Country,Male Artist,Blake Shelton,Blake Shelton,,Male,2010,3,156,1,1.0,
201,2016,Favorite Female Artist - Country,Female Artist,Carrie Underwood,Carrie Underwood,,Female,2010,3,148,8,8.0,
232,2016,Favorite Male Artist - Soul/R&B,Male Artist,Chris Brown,Chris Brown,,Male,2010,3,156,4,4.0,
480,2016,Favorite Male Artist - Pop/Rock	,Male Artist,Justin Bieber,Justin Bieber,,Male,2010,3,156,1,11.0,
828,2016,Favorite Female Artist - Soul/R&B,Female Artist,Rihanna,Rihanna,,Female,2010,3,148,9,9.0,
850,2016,Favorite Female Artist - Pop/Rock,Female Artist,Selena Gomez ,Selena Gomez ,,Female,2010,3,148,1,1.0,
108,2017,Favorite Female Artist - Soul/R&B,Female Artist,Beyonce,Beyonce,,Female,2010,3,148,7,7.0,
168,2017,Favorite Male Artist - Pop/Rock	,Male Artist,Bruno Mars,Bruno Mars,,Male,2010,3,156,4,8.0,
169,2017,Favorite Male Artist - Soul/R&B,Male Artist,Bruno Mars,Bruno Mars,,Male,2010,3,156,4,8.0,
202,2017,Favorite Female Artist - Country,Female Artist,Carrie Underwood,Carrie Underwood,,Female,2010,3,148,8,8.0,
512,2017,Favorite Male Artist - Country,Male Artist,Keith Urban ,Keith Urban ,,Male,2010,3,156,2,4.0,
556,2017,Favorite Female Artist - Pop/Rock,Female Artist,Lady Gaga ,Lady Gaga ,,Female,2010,3,148,2,2.0,
203,2018,Favorite Female Artist - Country,Female Artist,Carrie Underwood,Carrie Underwood,,Female,2010,3,148,8,8.0,
499,2018,Favorite Male Artist - Country,Male Artist,Kane Brown ,Kane Brown ,,Male,2010,3,156,1,3.0,
541,2018,Favorite Male Artist - Soul/R&B,Male Artist,Khalid ,Khalid ,,Male,2010,3,156,1,1.0,
780,2018,Favorite Male Artist - Pop/Rock	,Male Artist,Post Malone,Post Malone,,Male,2010,3,156,1,1.0,
829,2018,Favorite Female Artist - Soul/R&B,Female Artist,Rihanna,Rihanna,,Female,2010,3,148,9,9.0,
914,2018,Favorite Female Artist - Pop/Rock,Female Artist,Taylor Swift,Taylor Swift,,Female,2010,3,148,18,23.0,
459,2004,Rap/Hip-Hop Male,Male Artist,Jay-Z ,Jay-Z ,,Male,2000,7,156,2,3.0,
328,2005,Rap/Hip-Hop Male,Male Artist,Eminem,Eminem,,Male,2000,7,156,5,5.0,
329,2006,Rap/Hip-Hop Male,Male Artist,Eminem,Eminem,,Male,2000,7,156,5,5.0,
895,2007,Rap/Hip-Hop Male,Male Artist,T.I. ,T.I. ,,Male,2000,7,156,1,2.0,
502,2008,Rap/Hip-Hop Male,Male Artist,Kanye West ,Kanye West ,,Male,2000,7,156,1,2.0,
460,2009,Rap/Hip-Hop Male,Male Artist,Jay-Z ,Jay-Z ,,Male,2000,7,156,2,3.0,
330,2010,Rap/Hip-Hop Male,Male Artist,Eminem,Eminem,,Male,2010,7,156,5,5.0,
841,1974,Soul/R&B Female,Female Artist,Roberta Flack ,Roberta Flack ,,Female,1970,41,148,1,1.0,
277,1975,Soul/R&B Female,Female Artist,Diana Ross,Diana Ross,,Female,1970,41,148,4,4.0,
64,1976,Soul/R&B Female,Female Artist,Aretha Franklin,Aretha Franklin,,Female,1970,41,148,5,5.0,
65,1977,Soul/R&B Female,Female Artist,Aretha Franklin,Aretha Franklin,,Female,1970,41,148,5,5.0,
709,1978,Soul/R&B Female,Female Artist,Natalie Cole ,Natalie Cole ,,Female,1970,41,148,3,4.0,
710,1979,Soul/R&B Female,Female Artist,Natalie Cole ,Natalie Cole ,,Female,1970,41,148,3,4.0,
303,1980,Soul/R&B Female,Female Artist,Donna Summer ,Donna Summer ,,Female,1980,41,148,3,6.0,
278,1981,Soul/R&B Female,Female Artist,Diana Ross,Diana Ross,,Female,1980,41,148,4,4.0,
878,1982,Soul/R&B Female,Female Artist,Stephanie Mills ,Stephanie Mills ,,Female,1980,41,148,1,1.0,
279,1983,Soul/R&B Female,Female Artist,Diana Ross,Diana Ross,,Female,1980,41,148,4,4.0,
66,1984,Soul/R&B Female,Female Artist,Aretha Franklin,Aretha Franklin,,Female,1980,41,148,5,5.0,
67,1986,Soul/R&B Female,Female Artist,Aretha Franklin,Aretha Franklin,,Female,1980,41,148,5,5.0,
1003,1987,Soul/R&B Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1980,41,148,10,21.0,
57,1988,Soul/R&B Female,Female Artist,Anita Baker ,Anita Baker ,,Female,1980,41,148,3,4.0,
1004,1989,Soul/R&B Female,Female Artist,Whitney Houston,Whitney Houston,,Female,1980,41,148,10,21.0,
58,1990,Soul/R&B Female,Female Artist,Anita Baker ,Anita Baker ,,Female,1990,41,148,3,4.0,
453,1991,Soul/R&B Female,Female Artist,Janet Jackson ,Janet Jackson ,,Female,1990,41,148,7,11.0,
