,Year,Category,Cat_Type,Winner,Winning_Artist,Winning_Album,GenderAwards,Decade,Cat_Count,Cat_Type_Count,Winner_Count,Artist_Wins,Album_Wins
0,1997,Rap/Hip-Hop Artist,Artist_No Gender,2 Pac Aka Tupac Shakur ,2 Pac Aka Tupac Shakur ,,,1990,17,216,1,1.0,
1,2001,Pop/Rock New Artist,Artist_No Gender,3 Doors Down ,3 Doors Down ,,,2000,15,216,1,1.0,
2,2014,New Artist Of The Year Presented by Kohl's,Artist_No Gender,5 Seconds Of Summer ,5 Seconds Of Summer ,,,2010,3,216,1,1.0,
3,2005,Rap/Hip-Hop Album,Album,50 Cent The Massacre ,50 Cent ,ÂÂThe MassacreÃ¢ ,,2000,16,174,1,1.0,1.0
4,2002,Soul/R&B Album,Album,Aaliyah Aaliyah ,Aaliyah ,ÂÂAaliyahÃ¢ ,,2000,40,174,1,2.0,1.0
5,2002,Soul/R&B Female,Female Artist,Aaliyah ,Aaliyah ,,Female,2000,41,148,1,2.0,
6,1995,Pop/Rock Group,Group,Ace Of Base ,Ace Of Base ,,,1990,41,140,2,2.0,
7,1995,Pop/Rock New Artist,Artist_No Gender,Ace Of Base ,Ace Of Base ,,,1990,15,216,2,2.0,
8,2011,Adult Contemporary Artist,Artist_No Gender,Adele,Adele,,,2010,24,216,4,4.0,
9,2012,Adult Contemporary Artist,Artist_No Gender,Adele,Adele,,,2010,24,216,4,4.0,
10,2016,Favorite Artist - Adult Contemporary	,Artist_No Gender,Adele,Adele,,,2010,3,216,4,4.0,
11,2011,Pop/Rock Female,Female Artist,Adele,Adele,,Female,2010,42,148,4,4.0,
12,2011,Pop/Rock Album,Album,Adele 21 ,Adele ,ÂÂ21Ã¢ ,,2010,43,174,1,1.0,1.0
13,1991,Heavy Metal/Hard Rock Artist,Artist_No Gender,Aerosmith,Aerosmith,,,1990,7,216,6,6.0,
14,1994,Heavy Metal/Hard Rock Artist,Artist_No Gender,Aerosmith,Aerosmith,,,1990,7,216,6,6.0,
15,2001,International Artist Award,Artist_No Gender,Aerosmith,Aerosmith,,,2000,8,216,6,6.0,
16,1991,Pop/Rock Group,Group,Aerosmith,Aerosmith,,,1990,41,140,6,6.0,
17,1994,Pop/Rock Group,Group,Aerosmith,Aerosmith,,,1990,41,140,6,6.0,
18,1999,Pop/Rock Group,Group,Aerosmith,Aerosmith,,,1990,41,140,6,6.0,
19,1982,Pop/Rock Group,Group,Air Supply ,Air Supply ,,,1980,41,140,1,1.0,
20,2007,Soul/R&B Male,Male Artist,Akon ,Akon ,,Male,2000,42,156,1,1.0,
21,1989,Soul/R&B New Artist,Artist_No Gender,Al B Sure ,Al B Sure ,,,1980,15,216,1,1.0,
